"","(Intercept)","exposure","Log(scale)","param","model"
"1",4.81591463461788,-0.159143689778553,-1.46705044063419,"coef","full"
"2",0.0157226850730542,0.00808025405078398,0.0265865422330778,"se","full"
"3",4.86494923462888,-0.148278991539382,-1.45962067862202,"coef","weighted"
"4",0.016964296425755,0.00777224367577038,0.0269054157715196,"se","weighted"
"5",4.82290906390476,-0.166711126719446,-1.45249606833858,"coef","full"
"6",0.0160326160292647,0.00811875222797678,0.0265538042459061,"se","full"
"7",4.87035342064335,-0.151330908875911,-1.45402747967292,"coef","weighted"
"8",0.0171745636459317,0.00789394144973159,0.0266989212003623,"se","weighted"
"9",4.81215011977974,-0.160388035312455,-1.4622412261506,"coef","full"
"10",0.0155810321300037,0.00810800652076526,0.0263866457369924,"se","full"
"11",4.85388430790356,-0.138934886856686,-1.47250327530026,"coef","weighted"
"12",0.0162855680812111,0.00747898292360541,0.0262659226009016,"se","weighted"
"13",4.79458400437597,-0.146863637858671,-1.47774301836977,"coef","full"
"14",0.0148885261157297,0.00772892761403582,0.0262500387741862,"se","full"
"15",4.84577022335987,-0.131082932624689,-1.47359763517227,"coef","weighted"
"16",0.016064172550171,0.00746056737374881,0.0264586191663478,"se","weighted"
"17",4.82949182991737,-0.152617891817007,-1.44582827817961,"coef","full"
"18",0.0165817887044926,0.0084387327579896,0.0273536406381657,"se","full"
"19",4.87160395650303,-0.153466437415982,-1.4549107821321,"coef","weighted"
"20",0.0176211924724373,0.00833907417278183,0.0275594470297053,"se","weighted"
"21",4.82165129550127,-0.166290867560869,-1.46269845503485,"coef","full"
"22",0.0160260053274628,0.00816270519562153,0.0268260212298897,"se","full"
"23",4.86753028428999,-0.15883838215586,-1.46904601701584,"coef","weighted"
"24",0.0170677602131271,0.00800911197203442,0.0270028453270908,"se","weighted"
"25",4.82267300948077,-0.161588815653046,-1.45780125185686,"coef","full"
"26",0.016042638196324,0.00817174763889039,0.0268244038591741,"se","full"
"27",4.8661950260883,-0.146221524179169,-1.46358304132736,"coef","weighted"
"28",0.0169378449383752,0.0077996055312686,0.0266832516988663,"se","weighted"
"29",4.83660636022182,-0.168627999471164,-1.4612266275515,"coef","full"
"30",0.0167311892452725,0.00850099177394899,0.0273649559885152,"se","full"
"31",4.87062439227195,-0.14861074719857,-1.47565615017149,"coef","weighted"
"32",0.0173262093669008,0.00771471393731901,0.0272473168989968,"se","weighted"
"33",4.81140745202925,-0.160709630483364,-1.46432981869224,"coef","full"
"34",0.0154208807669017,0.0078957378630324,0.0262304479108891,"se","full"
"35",4.85816811641556,-0.143552723825985,-1.46773174833718,"coef","weighted"
"36",0.0164661878327225,0.00757032691410977,0.0263120545638153,"se","weighted"
"37",4.80916159274425,-0.161433892663706,-1.45702245049288,"coef","full"
"38",0.0153218837832643,0.00807817622001926,0.0259750640025773,"se","full"
"39",4.86420127340532,-0.143628561507045,-1.45036110741035,"coef","weighted"
"40",0.0165730449891168,0.00787305642216104,0.0260862710646337,"se","weighted"
"41",4.79928903990415,-0.156135390418575,-1.50080493237954,"coef","full"
"42",0.0150788008181057,0.00770654139954334,0.0265383285423518,"se","full"
"43",4.84413612485869,-0.152202705502395,-1.50655704833395,"coef","weighted"
"44",0.0161484885037111,0.00772078173575953,0.0266776213429979,"se","weighted"
"45",4.79592790048217,-0.15359188066154,-1.48899231005485,"coef","full"
"46",0.0150544458054349,0.00775204813782823,0.0262859264826728,"se","full"
"47",4.83283629480992,-0.14353740474271,-1.50409526831237,"coef","weighted"
"48",0.0157114436883429,0.00726507761208398,0.0260577489724806,"se","weighted"
"49",4.81801435736467,-0.150188244573587,-1.43467449734853,"coef","full"
"50",0.0157706697274264,0.00820541839816285,0.0263985824386151,"se","full"
"51",4.8613034640227,-0.137685096157673,-1.44546048227016,"coef","weighted"
"52",0.0166724256767534,0.00785488685249021,0.0263586325730297,"se","weighted"
"53",4.84151140936782,-0.160321073520585,-1.42624862439359,"coef","full"
"54",0.0168237852614544,0.00839592995898174,0.0271084787966851,"se","full"
"55",4.88563878977183,-0.146146452390418,-1.43066319811617,"coef","weighted"
"56",0.0178234909846247,0.00802828879700847,0.0271280846598869,"se","weighted"
"57",4.80366382487981,-0.154956725853255,-1.44751729052318,"coef","full"
"58",0.0150596056709337,0.0079728769840452,0.0259225690546052,"se","full"
"59",4.84884164134824,-0.13377122865253,-1.4548515704879,"coef","weighted"
"60",0.0160322536287762,0.00742004232034938,0.025952609521808,"se","weighted"
"61",4.83643268533439,-0.161440073372633,-1.43697509241348,"coef","full"
"62",0.0165835382136563,0.00836068883785374,0.0268955381537661,"se","full"
"63",4.88141414653823,-0.154098105335328,-1.44434437897827,"coef","weighted"
"64",0.017594762806883,0.00819719201661869,0.0269585778840195,"se","weighted"
"65",4.84228909770219,-0.162434197686573,-1.41705016302033,"coef","full"
"66",0.0168557067525531,0.00864742671377461,0.0270678191125297,"se","full"
"67",4.89144750188522,-0.152753852349145,-1.41829798748488,"coef","weighted"
"68",0.0181327723774259,0.00868017097918103,0.0271803277940375,"se","weighted"
"69",4.8106878223806,-0.148625851003485,-1.4537775386533,"coef","full"
"70",0.0156349962066987,0.00799067014511317,0.0265096800347612,"se","full"
"71",4.86066820520903,-0.14326509800631,-1.44942833988149,"coef","weighted"
"72",0.0168460159625734,0.00784143513279052,0.0266667810596998,"se","weighted"
"73",4.8145893424027,-0.16617041098527,-1.43830537162174,"coef","full"
"74",0.0154766780871684,0.00824952975239861,0.0259245136781658,"se","full"
"75",4.86722673953982,-0.147753150381464,-1.43349543242889,"coef","weighted"
"76",0.0167492520921601,0.00790659491538572,0.0262421055209289,"se","weighted"
"77",4.8235996683825,-0.166386467632595,-1.44109068583256,"coef","full"
"78",0.0158886477421782,0.00828484307552589,0.0263842395646399,"se","full"
"79",4.85501018275246,-0.143164666814765,-1.47053490199963,"coef","weighted"
"80",0.016184771173309,0.00747085947890331,0.0257871823688924,"se","weighted"
"81",4.79049893473856,-0.163262852834457,-1.47832869914514,"coef","full"
"82",0.0144006500263487,0.00771134953588508,0.0252564084748557,"se","full"
"83",4.83196148151283,-0.15043527328417,-1.50004052715357,"coef","weighted"
"84",0.0150551155830393,0.00741670367668805,0.0249970389210223,"se","weighted"
"85",4.80530632956421,-0.153867220781466,-1.4853244432901,"coef","full"
"86",0.0154101394085695,0.00803860081208425,0.0267952994726282,"se","full"
"87",4.85006368429368,-0.14527796478842,-1.48776431218355,"coef","weighted"
"88",0.0163972247549274,0.00773548957485852,0.0269592472360268,"se","weighted"
"89",4.79908243105124,-0.147022470217236,-1.48528603737889,"coef","full"
"90",0.0152183431256737,0.00806268384905431,0.0268341384590725,"se","full"
"91",4.84074734323301,-0.134531154507704,-1.4928988130184,"coef","weighted"
"92",0.0162077957574249,0.00770362702645399,0.0270412694083334,"se","weighted"
"93",4.80631323320102,-0.148564234734442,-1.47407967165746,"coef","full"
"94",0.0154204112510095,0.00797798682524616,0.0266535006832651,"se","full"
"95",4.83845154316318,-0.130007270670774,-1.49888923876218,"coef","weighted"
"96",0.0159673190916714,0.00737501818281606,0.0263634809124258,"se","weighted"
"97",4.82090546599502,-0.157436823973021,-1.44474646963486,"coef","full"
"98",0.0159763394495506,0.00835429071155904,0.0267467983172924,"se","full"
"99",4.8680760328163,-0.144378241495383,-1.44765677521046,"coef","weighted"
"100",0.0172122131654991,0.00815736613072498,0.0270263424240754,"se","weighted"
"101",4.82631439614343,-0.174362632236448,-1.45737582862243,"coef","full"
"102",0.0160955847933048,0.00852555835967787,0.0266788460058747,"se","full"
"103",4.86495895891317,-0.156010510154865,-1.46882540969199,"coef","weighted"
"104",0.016909773521737,0.00790293897325927,0.0266423967399665,"se","weighted"
"105",4.78035760845056,-0.151947657445761,-1.52566736267812,"coef","full"
"106",0.0143502826957006,0.00754835228647373,0.0261302034418184,"se","full"
"107",4.8319364757612,-0.135991615360332,-1.51604947863032,"coef","weighted"
"108",0.0156172636000622,0.00728264980822559,0.0265352431869048,"se","weighted"
"109",4.79491210781104,-0.162116965475968,-1.49965193637681,"coef","full"
"110",0.0148996192572298,0.00779803551845194,0.0261472619633456,"se","full"
"111",4.8334159650068,-0.139897854418055,-1.50998237636552,"coef","weighted"
