"","intercept","exposure","log_scale","param","model"
"99",5.04890094054645,-0.357018969528568,-0.603633717609496,"coef","weighted"
"100",0.0543214717366784,0.0257914046132305,0.0388110837593207,"se","weighted"
"101",NA,0.6687301014009,NA,"coef","coxfull"
"102",NA,0.0428834749233256,NA,"se","coxfull"
"103",NA,0.652446169487803,NA,"coef","coxweighted"
"104",NA,0.05490221641279,NA,"se","coxweighted"
"105",5.12991441980308,-0.41211046605649,-0.594174601812085,"coef","full"
"106",0.0600369475836596,0.0286884062672983,0.0402271107219205,"se","full"
"107",5.12634317730046,-0.425543009133936,-0.591772681204271,"coef","weighted"
"108",0.0586248627275051,0.0277457521734281,0.0396680528223667,"se","weighted"
"109",NA,0.746213793156806,NA,"coef","coxfull"
"110",NA,0.0436534880011832,NA,"se","coxfull"
"111",NA,0.768039467092085,NA,"coef","coxweighted"
"112",NA,0.0592985434003646,NA,"se","coxweighted"
"113",5.190041427075,-0.419685853175554,-0.570641710339449,"coef","full"
"114",0.0641914482695348,0.0306597715171426,0.0414998592414371,"se","full"
"115",5.18715272971382,-0.455169621659956,-0.575373531502777,"coef","weighted"
"116",0.0659387405631703,0.0302604923930863,0.0439679479523714,"se","weighted"
"117",NA,0.744081912883594,NA,"coef","coxfull"
"118",NA,0.0464087954901092,NA,"se","coxfull"
"119",NA,0.810811413134074,NA,"coef","coxweighted"
"120",NA,0.0604380779255853,NA,"se","coxweighted"
"121",5.21502654031397,-0.372797879738494,-0.513794972095954,"coef","full"
"122",0.0653919146295662,0.0307573843926829,0.0414324398497762,"se","full"
"123",5.20240691677321,-0.382235140882937,-0.523349790670516,"coef","weighted"
"124",0.0619161314276311,0.0283510668019366,0.0399391191030243,"se","weighted"
"125",NA,0.62200502588245,NA,"coef","coxfull"
"126",NA,0.045219365502654,NA,"se","coxfull"
"127",NA,0.643976098502511,NA,"coef","coxweighted"
"128",NA,0.0583398218263885,NA,"se","coxweighted"
"129",5.09092157952022,-0.369674958083595,-0.618570041879666,"coef","full"
"130",0.0588579028133638,0.0282225290283474,0.0409656357647004,"se","full"
"131",5.10602693108798,-0.368370048282413,-0.602783937835371,"coef","weighted"
"132",0.061610892297258,0.0281319828072183,0.0425844244966694,"se","weighted"
"133",NA,0.687213581419587,NA,"coef","coxfull"
"134",NA,0.0451900567257486,NA,"se","coxfull"
"135",NA,0.673588015536792,NA,"coef","coxweighted"
"136",NA,0.0584380075709314,NA,"se","coxweighted"
"137",5.29345041781351,-0.428053578072654,-0.473570883104471,"coef","full"
"138",0.069292237824279,0.0329619146512095,0.0412120574715236,"se","full"
"139",5.30090227524956,-0.395124723809421,-0.466929535872067,"coef","weighted"
"140",0.0703937112462546,0.0328113443915758,0.0417381058594613,"se","weighted"
"141",NA,0.686160332627107,NA,"coef","coxfull"
"142",NA,0.0456556202551552,NA,"se","coxfull"
"143",NA,0.628956159190258,NA,"coef","coxweighted"
"144",NA,0.0600347110604695,NA,"se","coxweighted"
"145",5.07256417828935,-0.341111829969402,-0.634366946225138,"coef","full"
"146",0.0586111022960997,0.0274185879083029,0.0415345743065852,"se","full"
"147",5.06116357756537,-0.350941495815005,-0.64040922724712,"coef","weighted"
"148",0.0577022253407178,0.0252300156597907,0.0416170077507166,"se","weighted"
"149",NA,0.641823479579165,NA,"coef","coxfull"
"150",NA,0.045008218816786,NA,"se","coxfull"
"151",NA,0.664750617840632,NA,"coef","coxweighted"
"152",NA,0.0544160020938532,NA,"se","coxweighted"
"153",5.06873627086244,-0.348191734836126,-0.587429934514819,"coef","full"
"154",0.0561419609913058,0.0271030125892311,0.0393628703723785,"se","full"
"155",5.07242472089997,-0.348742686881856,-0.583301117231731,"coef","weighted"
