"","n","cens","baseline_rate1","baseline_rate2","weib_param1","weib_param2","origin","ncc_controls","compet_lhr","lhr","settings"
"1",20000,80,5e-07,1e-06,2.5,3.4,30,2,0,0.693147180559945,1
"2",20000,80,1e-04,1e-06,1.8,3.4,30,2,0,0.693147180559945,2
