"","intercept","exposure","log_scale","param","model","settings"
"1",5.46719152128439,-0.254877138260191,-1.12496957416832,"coef","full",1
"2",0.118589638807258,0.0305066415674956,0.0712632491673639,"se","full",1
"3",5.54694382447652,-0.296723445902809,-1.08575532328347,"coef","weighted",1
"4",0.133076290251069,0.0409741075660349,0.0746496613451489,"se","weighted",1
"5",NA,0.785171383824224,NA,"coef","coxfull",1
"6",NA,0.0758507670034932,NA,"se","coxfull",1
"7",NA,0.878435987440397,NA,"coef","coxweighted",1
"8",NA,0.126699090070397,NA,"se","coxweighted",1
"9",5.6449775828687,-0.236491966327402,-0.983527302373966,"coef","full",1
"10",0.128984317140499,0.0321742148472925,0.0697178269119121,"se","full",1
"11",5.70827891896464,-0.229072972085099,-0.948900349934622,"coef","weighted",1
"12",0.126476373674923,0.0310866852644516,0.0664381029449963,"se","weighted",1
"13",NA,0.632288446284568,NA,"coef","coxfull",1
"14",NA,0.0740189700351278,NA,"se","coxfull",1
"15",NA,0.592597531356509,NA,"coef","coxweighted",1
"16",NA,0.099746724150098,NA,"se","coxweighted",1
"17",5.85711358485412,-0.278550616284038,-0.892846821189952,"coef","full",1
"18",0.150227484120867,0.0372935566612701,0.0724560369702126,"se","full",1
"19",5.84266140409574,-0.317747675004987,-0.903123095559699,"coef","weighted",1
"20",0.143653489185506,0.0410411600321144,0.0693217994542894,"se","weighted",1
"21",NA,0.680054657831301,NA,"coef","coxfull",1
"22",NA,0.0764019051823582,NA,"se","coxfull",1
"23",NA,0.782400156364041,NA,"coef","coxweighted",1
"24",NA,0.120500221475808,NA,"se","coxweighted",1
"25",5.88754728525104,-0.275722767580841,-0.877379424223866,"coef","full",1
"26",0.153276821037184,0.0379402087108261,0.072838824490832,"se","full",1
"27",5.82882103107035,-0.276282448546938,-0.909073441441383,"coef","weighted",1
"28",0.14085410126439,0.039644120025706,0.0681698905645863,"se","weighted",1
"29",NA,0.663070069540257,NA,"coef","coxfull",1
"30",NA,0.0775526002323068,NA,"se","coxfull",1
"31",NA,0.68619517182011,NA,"coef","coxweighted",1
"32",NA,0.11459871525352,NA,"se","coxweighted",1
"33",5.92623124309554,-0.305582814304028,-0.856616432254998,"coef","full",1
"34",0.152707656398938,0.0382325766110798,0.0710475984105588,"se","full",1
"35",5.88072548711512,-0.280490422020591,-0.877048150255725,"coef","weighted",1
